"","PIN","DISTRICT","YEAR","COUNTY","CITY","NUMSTUDS","WHITE","BLACK","YEAR_LIFTED","DISMISSED","region","PRIVATE"
"8521","4.98215814015138e-314","COLBERT COUNTY","1993","COLBERT COUNTY","LEIGHTON",188,115,71,"STILL OPEN",0,"COUNTY",0
"8526","4.98215813669292e-314","COLBERT COUNTY","1993","COLBERT COUNTY","CHEROKEE",308,255,52,"STILL OPEN",0,"COUNTY",0
"8535","4.98215814064545e-314","COLBERT COUNTY","1993","COLBERT COUNTY","TUSCUMBIA",79,79,0,"STILL OPEN",0,"COUNTY",0
"8558","4.98215813718699e-314","COLBERT COUNTY","1993","COLBERT COUNTY","CHEROKEE",270,216,53,"STILL OPEN",0,"COUNTY",0
"28747","5.06516152586218e-314","MUSCLE SHOALS CITY","1993","COLBERT COUNTY","MUSCLE SHOALS",606,519,83,"2007",1,"CITY",0
"28778","5.06516152635624e-314","MUSCLE SHOALS CITY","1993","COLBERT COUNTY","MUSCLE SHOALS",319,277,40,"2007",1,"CITY",0
"28779","5.06516189048262e-314","MUSCLE SHOALS CITY","1993","COLBERT COUNTY","MUSCLE SHOALS",198,169,28,"2007",1,"CITY",0
"28787","5.06516152437998e-314","MUSCLE SHOALS CITY","1993","COLBERT COUNTY","MUSCLE SHOALS",725,629,90,"2007",1,"CITY",0
"28788","5.06516152487404e-314","MUSCLE SHOALS CITY","1993","COLBERT COUNTY","MUSCLE SHOALS",382,342,37,"2007",1,"CITY",0
"31728","5.08887623121534e-314","SHEFFIELD CITY","1993","COLBERT COUNTY","SHEFFIELD",296,183,110,"STILL OPEN",0,"CITY",0
"31729","5.08887672725725e-314","SHEFFIELD CITY","1993","COLBERT COUNTY","SHEFFIELD",420,283,134,"STILL OPEN",0,"CITY",0
"31730","5.08887672873945e-314","SHEFFIELD CITY","1993","COLBERT COUNTY","SHEFFIELD",367,227,136,"STILL OPEN",0,"CITY",0
"31731","5.08887672923351e-314","SHEFFIELD CITY","1993","COLBERT COUNTY","SHEFFIELD",490,293,192,"STILL OPEN",0,"CITY",0
"35819","5.10962755009331e-314","TUSCUMBIA CITY","1993","COLBERT COUNTY","TUSCUMBIA",453,309,142,"STILL OPEN",0,"CITY",0
"35820","5.10962755058738e-314","TUSCUMBIA CITY","1993","COLBERT COUNTY","TUSCUMBIA",361,259,101,"STILL OPEN",0,"CITY",0
"35821","5.10962755108145e-314","TUSCUMBIA CITY","1993","COLBERT COUNTY","TUSCUMBIA",213,151,60,"STILL OPEN",0,"CITY",0
"35822","5.10962755157551e-314","TUSCUMBIA CITY","1993","COLBERT COUNTY","TUSCUMBIA",449,304,144,"STILL OPEN",0,"CITY",0
"8726","4.98364033955924e-314","CONECUH COUNTY","1993","CONECUH COUNTY","CASTLEBERRY",247,124,123,"1979",1,"COUNTY",0
"8727","4.9836403400533e-314","CONECUH COUNTY","1993","CONECUH COUNTY","EVERGREEN",324,76,212,"1979",1,"COUNTY",0
"8728","4.98364034054737e-314","CONECUH COUNTY","1993","CONECUH COUNTY","EVERGREEN",374,117,257,"1979",1,"COUNTY",0
"8729","4.98364034252363e-314","CONECUH COUNTY","1993","CONECUH COUNTY","REPTON",322,88,234,"1979",1,"COUNTY",0
"8730","4.98364104212058e-314","CONECUH COUNTY","1993","CONECUH COUNTY","EVERGREEN",678,206,472,"1979",1,"COUNTY",0
"8755","4.98364034104143e-314","CONECUH COUNTY","1993","CONECUH COUNTY","EVERGREEN",178,21,155,"1979",1,"COUNTY",0
"8756","4.9836403415355e-314","CONECUH COUNTY","1993","CONECUH COUNTY","EVERGREEN",338,113,223,"1979",1,"COUNTY",0
"8862","4.98512254044928e-314","COOSA COUNTY","1993","COOSA COUNTY","ROCKFORD",393,194,198,"2006",1,"COUNTY",0
"8863","4.98512323065899e-314","COOSA COUNTY","1993","COOSA COUNTY","ROCKFORD",518,279,237,"2006",1,"COUNTY",0
"535","4.94362085624004e-314","ANDALUSIA CITY","1993","COVINGTON COUNTY","ANDALUSIA",493,389,103,"2002",1,"CITY",0
"537","4.9436208567341e-314","ANDALUSIA CITY","1993","COVINGTON COUNTY","ANDALUSIA",528,399,129,"2002",1,"CITY",0
"565","4.94362085574597e-314","ANDALUSIA CITY","1993","COVINGTON COUNTY","ANDALUSIA",588,423,162,"2002",1,"CITY",0
"566","4.94362085722817e-314","ANDALUSIA CITY","1993","COVINGTON COUNTY","ANDALUSIA",480,371,104,"2002",1,"CITY",0
"9038","4.9866047433156e-314","COVINGTON COUNTY","1993","COVINGTON COUNTY","LOCKHART",288,217,70,"2006",1,"COUNTY",0
"9062","4.9866047418334e-314","COVINGTON COUNTY","1993","COVINGTON COUNTY","ANDALUSIA",536,519,17,"2006",1,"COUNTY",0
"9063","4.98660474232747e-314","COVINGTON COUNTY","1993","COVINGTON COUNTY","RED LEVEL",746,599,146,"2006",1,"COUNTY",0
"9064","4.98660474282153e-314","COVINGTON COUNTY","1993","COVINGTON COUNTY","ANDALUSIA",879,814,65,"2006",1,"COUNTY",0
"9102","4.98660457632141e-314","COVINGTON COUNTY","1993","COVINGTON COUNTY","FLORALA",163,127,36,"2006",1,"COUNTY",0
"9118","4.98660474133933e-314","COVINGTON COUNTY","1993","COVINGTON COUNTY","FLORALA",194,151,42,"2006",1,"COUNTY",0
"9130","4.98660474084527e-314","COVINGTON COUNTY","1993","COVINGTON COUNTY","OPP",321,316,1,"2006",1,"COUNTY",0
"29132","5.06960812260353e-314","OPP CITY","1993","COVINGTON COUNTY","OPP",485,380,104,"2002",1,"CITY",0
"29146","5.0696081245798e-314","OPP CITY","1993","COVINGTON COUNTY","OPP",576,443,132,"2002",1,"CITY",0
"29153","5.06960812210947e-314","OPP CITY","1993","COVINGTON COUNTY","OPP",572,451,118,"2002",1,"CITY",0
"9257","4.98808694074719e-314","CRENSHAW COUNTY","1993","CRENSHAW COUNTY","BRANTLEY",575,343,231,"2006",1,"COUNTY",0
"9258","4.98808694222938e-314","CRENSHAW COUNTY","1993","CRENSHAW COUNTY","LUVERNE",1100,624,475,"2006",1,"COUNTY",0
"9267","4.98808694173532e-314","CRENSHAW COUNTY","1993","CRENSHAW COUNTY","HIGHLAND HOME",711,474,237,"2006",1,"COUNTY",0
"9306","4.9895691406491e-314","CULLMAN CITY","1993","CULLMAN COUNTY","CULLMAN",626,626,0,"2004",1,"CITY",0
"9320","4.98956914114317e-314","CULLMAN CITY","1993","CULLMAN COUNTY","CULLMAN",609,604,0,"2004",1,"CITY",0
"9373","4.98956914015504e-314","CULLMAN CITY","1993","CULLMAN COUNTY","CULLMAN",787,782,2,"2004",1,"CITY",0
"9385","4.98956913966097e-314","CULLMAN CITY","1993","CULLMAN COUNTY","CULLMAN",655,653,0,"2004",1,"CITY",0
"9757","4.99105133857476e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","BAILEYTON",176,174,0,"STILL OPEN",0,"COUNTY",0
"9758","4.99105133906882e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","BREMEN",876,871,0,"STILL OPEN",0,"COUNTY",0
"9760","4.99105134055102e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","CULLMAN",1358,1351,0,"STILL OPEN",0,"COUNTY",0
"9761","4.99105134104509e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","GARDEN CITY",114,112,0,"STILL OPEN",0,"COUNTY",0
"9762","4.99105134153915e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","CULLMAN",1160,1154,0,"STILL OPEN",0,"COUNTY",0
"9886","4.99105134203322e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","HANCEVILLE",1236,1102,127,"STILL OPEN",0,"COUNTY",0
"9887","4.99105134252728e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","HOLLY POND",947,941,0,"STILL OPEN",0,"COUNTY",0
"9888","4.99105134302135e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","CULLMAN",195,195,0,"STILL OPEN",0,"COUNTY",0
"9973","4.99105134450355e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","VINEMONT",1183,1182,0,"STILL OPEN",0,"COUNTY",0
"9985","4.99105134400948e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","LOGAN",100,89,0,"STILL OPEN",0,"COUNTY",0
"9987","4.99105134499761e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","CULLMAN",118,118,0,"STILL OPEN",0,"COUNTY",0
"9989","4.99105189390454e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","CULLMAN",60,58,2,"STILL OPEN",0,"COUNTY",0
"10001","4.99105134549168e-314","CULLMAN COUNTY","1993","CULLMAN COUNTY","CULLMAN",1528,1525,1,"STILL OPEN",0,"COUNTY",0
"10031","4.9925335453936e-314","DALE COUNTY","1993","DALE COUNTY","PINCKARD",357,282,73,"2005",1,"COUNTY",0
"10037","4.99253354440546e-314","DALE COUNTY","1993","DALE COUNTY","MIDLAND CITY",544,421,119,"2005",1,"COUNTY",0
"10038","4.9925335439114e-314","DALE COUNTY","1993","DALE COUNTY","SKIPPERVILLE",680,579,92,"2005",1,"COUNTY",0
"10046","4.99253354489953e-314","DALE COUNTY","1993","DALE COUNTY","NEWTON",269,224,45,"2005",1,"COUNTY",0
"10071","4.99253354292327e-314","DALE COUNTY","1993","DALE COUNTY","ARITON",461,378,83,"2005",1,"COUNTY",0
"10073","4.99253354341733e-314","DALE COUNTY","1993","DALE COUNTY","MIDLAND CITY",409,329,78,"2005",1,"COUNTY",0
"10265","4.99401574282518e-314","DALEVILLE CITY","1993","DALE COUNTY","DALEVILLE",458,230,153,"2002",1,"CITY",0
"10276","4.99401642117732e-314","DALEVILLE CITY","1993","DALE COUNTY","DALEVILLE",651,422,194,"2002",1,"CITY",0
"10279","4.99401634558527e-314","DALEVILLE CITY","1993","DALE COUNTY","DALEVILLE",570,322,187,"2002",1,"CITY",0
"16667","5.02810638256487e-314","HOUSTON COUNTY","1993","DALE COUNTY","NEWTON",743,699,41,"2008",1,"COUNTY",0
"29378","5.07109032448171e-314","OZARK CITY","1993","DALE COUNTY","OZARK",608,391,212,"2002",1,"CITY",0
"29379","5.07109032497578e-314","OZARK CITY","1993","DALE COUNTY","OZARK",335,207,124,"2002",1,"CITY",0
"29380","5.07109056360949e-314","OZARK CITY","1993","DALE COUNTY","OZARK",256,141,113,"2002",1,"CITY",0
"29415","5.07109032250545e-314","OZARK CITY","1993","DALE COUNTY","OZARK",1053,664,360,"2002",1,"CITY",0
"29416","5.07109032299952e-314","OZARK CITY","1993","DALE COUNTY","OZARK",649,348,292,"2002",1,"CITY",0
"29417","5.07109032349358e-314","OZARK CITY","1993","DALE COUNTY","OZARK",473,317,136,"2002",1,"CITY",0
"10315","4.9954979456915e-314","DALLAS COUNTY","1993","DALLAS COUNTY","SELMA",845,55,790,"1977",1,"COUNTY",0
"10343","4.99549794618556e-314","DALLAS COUNTY","1993","DALLAS COUNTY","SELMA",472,51,421,"1977",1,"COUNTY",0
"10344","4.99549794667963e-314","DALLAS COUNTY","1993","DALLAS COUNTY","SELMA",362,1,361,"1977",1,"COUNTY",0
"10345","4.99549794717369e-314","DALLAS COUNTY","1993","DALLAS COUNTY","SELMA",433,352,81,"1977",1,"COUNTY",0
"10346","4.99549862700802e-314","DALLAS COUNTY","1993","DALLAS COUNTY","SELMA",296,30,266,"1977",1,"COUNTY",0
"10353","4.99549794519743e-314","DALLAS COUNTY","1993","DALLAS COUNTY","SARDIS",284,0,284,"1977",1,"COUNTY",0
"10393","4.99549794470336e-314","DALLAS COUNTY","1993","DALLAS COUNTY","ORRVILLE",248,0,248,"1977",1,"COUNTY",0
"10459","4.99549794371523e-314","DALLAS COUNTY","1993","DALLAS COUNTY","ORRVILLE",299,1,298,"1977",1,"COUNTY",0
"10500","4.99549794322117e-314","DALLAS COUNTY","1993","DALLAS COUNTY","PLANTERSVILLE",194,145,49,"1977",1,"COUNTY",0
"10523","4.99549794025677e-314","DALLAS COUNTY","1993","DALLAS COUNTY","SELMA",390,119,271,"1977",1,"COUNTY",0
"10524","4.99549794124491e-314","DALLAS COUNTY","1993","DALLAS COUNTY","PLANTERSVILLE",741,496,245,"1977",1,"COUNTY",0
"10525","4.99549794173897e-314","DALLAS COUNTY","1993","DALLAS COUNTY","ORRVILLE",210,2,208,"1977",1,"COUNTY",0
"31587","5.08739452537907e-314","SELMA CITY","1993","DALLAS COUNTY","SELMA",647,70,573,"1977",1,"CITY",0
"31588","5.0873945263672e-314","SELMA CITY","1993","DALLAS COUNTY","SELMA",313,2,311,"1977",1,"CITY",0
"31589","5.08739452686127e-314","SELMA CITY","1993","DALLAS COUNTY","SELMA",459,375,76,"1977",1,"CITY",0
"31590","5.08739452735533e-314","SELMA CITY","1993","DALLAS COUNTY","SELMA",400,0,400,"1977",1,"CITY",0
"31591","5.08739452834346e-314","SELMA CITY","1993","DALLAS COUNTY","SELMA",1180,61,1114,"1977",1,"CITY",0
"31592","5.08739452883753e-314","SELMA CITY","1993","DALLAS COUNTY","SELMA",512,47,459,"1977",1,"CITY",0
"31595","5.08739403032529e-314","SELMA CITY","1993","DALLAS COUNTY","SELMA",313,4,309,"1977",1,"CITY",0
"31596","5.08739452290874e-314","SELMA CITY","1993","DALLAS COUNTY","SELMA",428,215,210,"1977",1,"CITY",0
"31597","5.08739452340281e-314","SELMA CITY","1993","DALLAS COUNTY","SELMA",341,74,265,"1977",1,"CITY",0
"31598","5.08739452389687e-314","SELMA CITY","1993","DALLAS COUNTY","SELMA",330,1,329,"1977",1,"CITY",0
"31599","5.08739452488501e-314","SELMA CITY","1993","DALLAS COUNTY","SELMA",268,0,268,"1977",1,"CITY",0
"11229","4.99698015201627e-314","DEKALB COUNTY","1993","DEKALB COUNTY","VALLEY HEAD",453,423,8,"2006",1,"COUNTY",0
"11298","4.9969801515222e-314","DEKALB COUNTY","1993","DEKALB COUNTY","SYLVANIA",916,753,0,"2006",1,"COUNTY",0
"11309","4.99698015053407e-314","DEKALB COUNTY","1993","DEKALB COUNTY","RAINSVILLE",1113,857,0,"2006",1,"COUNTY",0
"11310","4.99698015102814e-314","DEKALB COUNTY","1993","DEKALB COUNTY","FORT PAYNE",154,80,0,"2006",1,"COUNTY",0
"11398","4.99698014707561e-314","DEKALB COUNTY","1993","DEKALB COUNTY","FYFFE",905,672,0,"2006",1,"COUNTY",0
"11406","4.99698014509935e-314","DEKALB COUNTY","1993","DEKALB COUNTY","COLLINSVILLE",506,402,65,"2006",1,"COUNTY",0
"11409","4.99698015004e-314","DEKALB COUNTY","1993","DEKALB COUNTY","MENTONE",115,87,0,"2006",1,"COUNTY",0
"11412","4.99698014756968e-314","DEKALB COUNTY","1993","DEKALB COUNTY","GERALDINE",866,780,0,"2006",1,"COUNTY",0
"11413","4.99698014460528e-314","DEKALB COUNTY","1993","DEKALB COUNTY","FORT PAYNE",108,80,0,"2006",1,"COUNTY",0
"11417","4.99698014905187e-314","DEKALB COUNTY","1993","DEKALB COUNTY","IDER",796,663,0,"2006",1,"COUNTY",0
"11418","4.99698014559341e-314","DEKALB COUNTY","1993","DEKALB COUNTY","CROSSVILLE",997,926,0,"2006",1,"COUNTY",0
"11419","4.99698014855781e-314","DEKALB COUNTY","1993","DEKALB COUNTY","HENAGAR",300,242,0,"2006",1,"COUNTY",0
"14256","5.01773096497102e-314","FORT PAYNE CITY","1993","DEKALB COUNTY","FORT PAYNE",783,654,49,"STILL OPEN",0,"CITY",0
"14257","5.01773096546508e-314","FORT PAYNE CITY","1993","DEKALB COUNTY","FORT PAYNE",543,487,33,"STILL OPEN",0,"CITY",0
"14258","5.01773156377858e-314","FORT PAYNE CITY","1993","DEKALB COUNTY","FORT PAYNE",798,689,47,"STILL OPEN",0,"CITY",0
"14293","5.01773096447695e-314","FORT PAYNE CITY","1993","DEKALB COUNTY","FORT PAYNE",525,486,32,"STILL OPEN",0,"CITY",0
"12174","5.00439097712068e-314","ELMORE COUNTY","1993","ELMORE COUNTY","WETUMPKA",744,467,277,"2004",1,"COUNTY",0
"12215","5.00439115547838e-314","ELMORE COUNTY","1993","ELMORE COUNTY","ECLECTIC",604,501,102,"2004",1,"COUNTY",0
"12287","5.00439115794871e-314","ELMORE COUNTY","1993","ELMORE COUNTY","MILLBROOK",702,484,211,"2004",1,"COUNTY",0
"12288","5.00439115893684e-314","ELMORE COUNTY","1993","ELMORE COUNTY","WETUMPKA",978,561,415,"2004",1,"COUNTY",0
"12289","5.00439115943091e-314","ELMORE COUNTY","1993","ELMORE COUNTY","WETUMPKA",890,581,306,"2004",1,"COUNTY",0
"12299","5.00439115745464e-314","ELMORE COUNTY","1993","ELMORE COUNTY","MILLBROOK",901,615,285,"2004",1,"COUNTY",0
"12303","5.00439174687496e-314","ELMORE COUNTY","1993","ELMORE COUNTY","MILLBROOK",1018,708,297,"2004",1,"COUNTY",0
"12304","5.00439180023405e-314","ELMORE COUNTY","1993","ELMORE COUNTY","ECLECTIC",769,614,152,"2004",1,"COUNTY",0
"12306","5.00439180122218e-314","ELMORE COUNTY","1993","ELMORE COUNTY","WETUMPKA",524,315,205,"2004",1,"COUNTY",0
"34007","5.1007343393183e-314","TALLASSEE CITY","1993","ELMORE COUNTY","TALLASSEE",630,502,127,"2003",1,"CITY",0
"34013","5.10073451866413e-314","TALLASSEE CITY","1993","ELMORE COUNTY","TALLASSEE",240,175,65,"2003",1,"CITY",0
"34015","5.10073433833017e-314","TALLASSEE CITY","1993","ELMORE COUNTY","TALLASSEE",354,288,65,"2003",1,"CITY",0
"6037","4.96288951869944e-314","BREWTON CITY","1993","ESCAMBIA COUNTY","BREWTON",483,279,200,"1977",1,"CITY",0
"6038","4.96288951820537e-314","BREWTON CITY","1993","ESCAMBIA COUNTY","BREWTON",542,286,249,"1977",1,"CITY",0
"6096","4.9628895191935e-314","BREWTON CITY","1993","ESCAMBIA COUNTY","BREWTON",478,310,162,"1977",1,"CITY",0
"12754","5.00735556170507e-314","ESCAMBIA COUNTY","1993","ESCAMBIA COUNTY","HUXFORD",203,117,25,"1977",1,"COUNTY",0
"12801","5.00735614124407e-314","ESCAMBIA COUNTY","1993","ESCAMBIA COUNTY","ATMORE",533,182,331,"1977",1,"COUNTY",0
"12836","5.00735556219913e-314","ESCAMBIA COUNTY","1993","ESCAMBIA COUNTY","BREWTON",256,238,8,"1977",1,"COUNTY",0
"12840","5.0073560646639e-314","ESCAMBIA COUNTY","1993","ESCAMBIA COUNTY","EAST BREWTON",433,329,104,"1977",1,"COUNTY",0
"12876","5.00735555972881e-314","ESCAMBIA COUNTY","1993","ESCAMBIA COUNTY","ATMORE",717,264,396,"1977",1,"COUNTY",0
"12877","5.00735556368133e-314","ESCAMBIA COUNTY","1993","ESCAMBIA COUNTY","EAST BREWTON",413,309,103,"1977",1,"COUNTY",0
"12878","5.00735606367577e-314","ESCAMBIA COUNTY","1993","ESCAMBIA COUNTY","FLOMATON",507,418,78,"1977",1,"COUNTY",0
"12879","5.00735606416983e-314","ESCAMBIA COUNTY","1993","ESCAMBIA COUNTY","EAST BREWTON",478,383,94,"1977",1,"COUNTY",0
"12933","5.007355561211e-314","ESCAMBIA COUNTY","1993","ESCAMBIA COUNTY","FLOMATON",299,249,47,"1977",1,"COUNTY",0
"12945","5.00735556022287e-314","ESCAMBIA COUNTY","1993","ESCAMBIA COUNTY","ATMORE",786,268,475,"1977",1,"COUNTY",0
"12957","5.00735555874068e-314","ESCAMBIA COUNTY","1993","ESCAMBIA COUNTY","ATMORE",379,140,219,"1977",1,"COUNTY",0
"1204","4.94954965584771e-314","ATTALLA CITY","1993","ETOWAH COUNTY","ATTALLA",335,280,45,"2006",1,"CITY",0
"1205","4.94954965732991e-314","ATTALLA CITY","1993","ETOWAH COUNTY","ATTALLA",339,296,41,"2006",1,"CITY",0
"1210","4.94954965683584e-314","ATTALLA CITY","1993","ETOWAH COUNTY","ATTALLA",531,456,66,"2006",1,"CITY",0
"1216","4.94954965634177e-314","ATTALLA CITY","1993","ETOWAH COUNTY","ATTALLA",763,676,86,"2006",1,"CITY",0
"13273","5.00883826209549e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","GLENCOE",428,423,5,"2007",1,"COUNTY",0
"13274","5.00883826258955e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","RAINBOW CITY",408,404,0,"2007",1,"COUNTY",0
"13275","5.00883826308362e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","GADSDEN",712,704,2,"2007",1,"COUNTY",0
"13276","5.00883833867566e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","HOKES BLUFF",413,413,0,"2007",1,"COUNTY",0
"13461","5.00883776802984e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","WALNUT GROVE",416,412,4,"2007",1,"COUNTY",0
"13493","5.00883776160699e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","ATTALLA",235,219,14,"2007",1,"COUNTY",0
"13494","5.00883776259512e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","GADSDEN",638,566,71,"2007",1,"COUNTY",0
"13495","5.00883776308918e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","GLENCOE",503,500,1,"2007",1,"COUNTY",0
"13502","5.00883776852391e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","ALTOONA",439,436,3,"2007",1,"COUNTY",0
"13505","5.00883776407731e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","GADSDEN",496,496,0,"2007",1,"COUNTY",0
"13506","5.00883776457138e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","GADSDEN",448,448,0,"2007",1,"COUNTY",0
"13509","5.00883776555951e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","RAINBOW CITY",731,705,21,"2007",1,"COUNTY",0
"13510","5.00883776605358e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","GADSDEN",270,270,0,"2007",1,"COUNTY",0
"13512","5.00883776753577e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","GADSDEN",752,745,5,"2007",1,"COUNTY",0
"13513","5.00883776506545e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","ATTALLA",235,229,2,"2007",1,"COUNTY",0
"13516","5.00883776358325e-314","ETOWAH COUNTY","1993","ETOWAH COUNTY","GLENCOE",359,356,2,"2007",1,"COUNTY",0
"14634","5.02069536922144e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",492,340,151,"2005",1,"CITY",0
"14635","5.02069537020957e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",167,151,16,"2005",1,"CITY",0
"14636","5.02069537070364e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",359,32,326,"2005",1,"CITY",0
"14637","5.02069537119771e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",361,337,22,"2005",1,"CITY",0
"14638","5.02069537169177e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",430,77,350,"2005",1,"CITY",0
"14669","5.02069536526892e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",211,35,176,"2005",1,"CITY",0
"14670","5.02069536576298e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",287,50,233,"2005",1,"CITY",0
"14671","5.02069536625705e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",587,313,272,"2005",1,"CITY",0
"14672","5.02069536675112e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",565,395,173,"2005",1,"CITY",0
"14673","5.02069536724518e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",314,309,2,"2005",1,"CITY",0
"14679","5.02069537218584e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",273,272,1,"2005",1,"CITY",0
"14680","5.02069584253633e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",424,146,275,"2005",1,"CITY",0
"14681","5.02069591565805e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",430,87,333,"2005",1,"CITY",0
"14682","5.02069591615211e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",290,85,205,"2005",1,"CITY",0
"14797","5.02069536872738e-314","GADSDEN CITY","1993","ETOWAH COUNTY","GADSDEN",706,350,339,"2005",1,"CITY",0
"13834","5.01328436674746e-314","FAYETTE COUNTY","1993","FAYETTE COUNTY","FAYETTE",486,368,118,"STILL OPEN",0,"COUNTY",0
"13842","5.01328436575933e-314","FAYETTE COUNTY","1993","FAYETTE COUNTY","BERRY",264,251,12,"STILL OPEN",0,"COUNTY",0
"13846","5.01328485636652e-314","FAYETTE COUNTY","1993","FAYETTE COUNTY","FAYETTE",884,651,231,"STILL OPEN",0,"COUNTY",0
"13858","5.01328436773559e-314","FAYETTE COUNTY","1993","FAYETTE COUNTY","FAYETTE",400,389,11,"STILL OPEN",0,"COUNTY",0
"13859","5.01328485537839e-314","FAYETTE COUNTY","1993","FAYETTE COUNTY","BERRY",350,331,19,"STILL OPEN",0,"COUNTY",0
"13861","5.01328499124644e-314","FAYETTE COUNTY","1993","FAYETTE COUNTY","FAYETTE",544,415,129,"STILL OPEN",0,"COUNTY",0
"14318","5.01921316487293e-314","FRANKLIN COUNTY","1993","FRANKLIN COUNTY","PHIL CAMPBELL",932,932,0,"STILL OPEN",0,"COUNTY",0
"14325","5.01921316339074e-314","FRANKLIN COUNTY","1993","FRANKLIN COUNTY","RUSSELLVILLE",456,454,0,"STILL OPEN",0,"COUNTY",0
"14328","5.019213165367e-314","FRANKLIN COUNTY","1993","FRANKLIN COUNTY","RED BAY",921,896,20,"STILL OPEN",0,"COUNTY",0
"14342","5.01921316635513e-314","FRANKLIN COUNTY","1993","FRANKLIN COUNTY","RUSSELLVILLE",280,270,0,"STILL OPEN",0,"COUNTY",0
"14343","5.0192131668492e-314","FRANKLIN COUNTY","1993","FRANKLIN COUNTY","VINA",329,327,0,"STILL OPEN",0,"COUNTY",0
"14393","5.0192131638848e-314","FRANKLIN COUNTY","1993","FRANKLIN COUNTY","PHIL CAMPBELL",199,197,0,"STILL OPEN",0,"COUNTY",0
"31016","5.0844301245871e-314","RUSSELLVILLE CITY","1993","FRANKLIN COUNTY","RUSSELLVILLE",407,353,54,"STILL OPEN",0,"CITY",0
"31051","5.08443012508117e-314","RUSSELLVILLE CITY","1993","FRANKLIN COUNTY","RUSSELLVILLE",534,455,76,"STILL OPEN",0,"CITY",0
"31052","5.0844301260693e-314","RUSSELLVILLE CITY","1993","FRANKLIN COUNTY","RUSSELLVILLE",752,651,96,"STILL OPEN",0,"CITY",0
"31055","5.08443012557524e-314","RUSSELLVILLE CITY","1993","FRANKLIN COUNTY","RUSSELLVILLE",611,551,56,"STILL OPEN",0,"CITY",0
"14899","5.02168350495972e-314","GENEVA CITY","1993","GENEVA COUNTY","GENEVA",713,602,108,"1974",1,"CITY",0
"14907","5.02168350446565e-314","GENEVA CITY","1993","GENEVA COUNTY","GENEVA",397,329,67,"1974",1,"CITY",0
"14933","5.0216841077198e-314","GENEVA CITY","1993","GENEVA COUNTY","GENEVA",315,259,56,"1974",1,"CITY",0
"15053","5.02267163723953e-314","GENEVA COUNTY","1993","GENEVA COUNTY","HARTFORD",211,159,51,"2002",1,"COUNTY",0
"15054","5.0226716377336e-314","GENEVA COUNTY","1993","GENEVA COUNTY","SAMSON",222,182,39,"2002",1,"COUNTY",0
